,file_name,batch,TMT_group2,TMT_group1,mix_channels
197,bannertmt_b13_03,13,"['128C', '127N', '130C', '128N', '129C']","['130N', '131N', '127C', '129N']","['126', '131C']"
198,bannertmt_b13_23,13,"['128C', '127N', '130C', '128N', '129C']","['130N', '131N', '127C', '129N']","['126', '131C']"
199,bannertmt_b14_10,14,"['129C', '128C', '127N']","['127C', '131N', '128N', '130C', '129N', '130N']","['126', '131C']"
200,bannertmt_b12_09,12,"['130C', '131N', '130N', '127N', '129N']","['129C', '127C', '128C', '128N']","['126', '131C']"
201,bannertmt_b04_01,4,"['127N', '127C', '129C', '130C']","['129N', '128C', '130N', '128N', '131N']","['126', '131C']"
202,bannertmt_b22_09,22,"['131N', '128C', '129C', '130N']","['128N', '130C', '127C', '129N', '127N']","['126', '131C']"
203,bannertmt_b03_05,3,"['128C', '127N', '130C', '129C', '127C']","['130N', '129N', '131N', '128N']","['126', '131C']"
204,bannertmt_b04_23,4,"['127N', '127C', '129C', '130C']","['129N', '128C', '130N', '128N', '131N']","['126', '131C']"
205,bannertmt_b04_02,4,"['127N', '127C', '129C', '130C']","['129N', '128C', '130N', '128N', '131N']","['126', '131C']"
206,bannertmt_b18_21,18,"['129C', '130C', '128N', '127N']","['130N', '131N', '127C', '129N', '128C']","['126', '131C']"
207,bannertmt_b01_14,1,"['127N', '129N', '128N', '130N', '131N', '128C']","['129C', '130C', '127C']","['126', '131C']"
208,bannertmt_b03_07,3,"['128C', '127N', '130C', '129C', '127C']","['130N', '129N', '131N', '128N']","['126', '131C']"
209,bannertmt_b10_14,10,"['131N', '129C', '127C', '129N']","['130C', '128N', '130N', '127N', '128C']","['126', '131C']"
210,bannertmt_b04_18,4,"['127N', '127C', '129C', '130C']","['129N', '128C', '130N', '128N', '131N']","['126', '131C']"
211,bannertmt_b02_03,2,"['128N', '131N', '128C', '129C']","['127C', '130N', '130C', '127N', '129N']","['126', '131C']"
